AAL;37,15;2100;78015;37,19;814;30280,8
AAPL;101,72;500;50860;101,74;2002;203703,5
ADI;49,81;15436;768867,16;49,87;1642;81902,96
ADSK;55,23;1200;66276;55,27;1340;74075,2
AKAM;62,53;700;43771;62,57;848;53067,84
ALXN;160,94;114;18347,16;161,05;194;31245,64
BBBY;63,68;2800;178304;63,76;1200;76524
CA;28,32;7824;221575,68;28,34;1100;31185
CHTR;161,95;300;48585;161,99;688;111456
CMCSA;56,86;144;8187,84;56,79;7306;414980,8
COST;126,67;1520;192538,4;126,71;702;88957,44
CTSH;44,99;4090;184009,1;45,02;1302;58629,06
DISH;64,88;1600;103808;64,91;300;19476
EA;36,85;3600;132660;36,91;700;25844
ESRX;74,31;1504;111762,24;74,33;2904;215883,36
FAST;45,99;1600;73584;46,02;1388;63889,64
FB;77,1;4320;333072;77,14;2700;208305
FISV;65,53;1072;70248,16;65,59;1486;97481,6
FOX;34,03;9596;326551,88;34,08;3288;112087,92
GILD;106,55;900;95895;106,6;1700;181237
GMCR;135,52;918;124407,36;135,57;300;40674
GRMN;52,1;2262;117850,2;52,15;700;36512
HSIC;117,01;244;28550,44;117,1;234;27403,74
INTC;34,91;12126;423318,66;34,95;14930;521952,8
JD;28,09;1918;53876,62;28,11;500;14060
MAR;72,18;1858;134110,44;72,22;1300;93899
MAT;33,76;4156;140306,56;33,81;4602;155639,64
MDLZ;35,63;4000;142520;35,68;9094;324564,86
NTAP;43,02;4918;211572,36;43,09;2294;98871,4
NXPI;72,22;300;21666;72,24;700;50575
QCOM;75,72;3200;242304;75,77;3884;294329,52
SBUX;76,09;1700;129353;76,11;1400;106568
TRIP;97,94;500;48970;97,99;268;26264
VIAB;80,91;3038;245804,58;80,96;900;72873
VIP;7,93;8034;63709,62;7,99;8658;69264
WFM;39,03;1908;74469,24;39,07;1130;44160,4
XLNX;44,01;3800;167238;44,04;2238;98583,9
YHOO;40,65;10168;413329,2;40,69;2540;103378
