AAL;37,16;1000;37,15;1300;Y;37,19;357;37,2;1239;Y
AAPL;101,73;200;101,72;2050;Y;101,74;951;101,75;2249;Y
ADBE;66,84;1125;66,83;0;N;66,85;1433;66,86;1104;N
ADI;49,82;7668;49,81;1350;N;49,87;771;49,88;969;Y
ADP;83,77;400;83,76;0;N;83,79;694;83,8;0;N
ADSK;55,24;550;55,23;1306;Y;55,27;620;55,28;791;Y
AKAM;62,54;300;62,53;0;N;62,57;374;62,58;880;Y
ALXN;160,95;7;160,94;100;Y;161,05;47;161,06;170;Y
AMAT;22,57;9085;22,56;9900;Y;22,59;7465;22,6;0;N
AMGN;143,4;122;143,39;86;N;143,43;502;143,44;296;N
AMZN;330,76;200;330,75;0;N;330,88;104;330,89;22;N
ATVI;21,69;22092;21,68;4642;N;21,73;4209;21,74;0;N
AVGO;89,36;401;89,35;550;Y;89,39;332;89,4;0;N
BBBY;63,69;1350;63,68;0;N;63,76;550;63,77;1062;Y
BIDU;224,93;300;224,92;0;N;225,01;200;225,02;0;N
BIIB;329,52;176;329,51;0;N;329,64;200;329,65;0;N
BMRN;69,72;200;69,71;250;Y;69,78;100;69,79;0;N
CA;28,33;3862;28,32;2947;N;28,34;500;28,35;1109;Y
CELG;93,93;350;93,92;0;N;93,97;800;93,98;476;N
CERN;58,49;201;58,48;0;N;58,5;500;58,51;0;N
CHKP;70,45;500;70,44;0;N;70,49;763;70,5;0;N
CHRW;67,54;300;67,53;0;N;67,57;964;67,58;898;N
CHTR;161,96;100;161,95;100;Y;161,99;294;162;300;Y
CMCSA;56,87;22;56,86;0;N;56,79;3603;56,8;4010;Y
CMCSK;56,49;1850;56,48;1850;Y;56,53;2150;56,54;0;N
COST;126,68;710;126,67;0;N;126,71;301;126,72;550;Y
CSCO;25,05;18042;25,04;0;N;25,08;20493;25,09;20156;N
CTSH;45;1995;44,99;2113;Y;45,02;601;45,03;1986;Y
CTXS;71,29;100;71,28;577;Y;71,3;1100;71,31;810;N
DISCA;40,15;749;40,14;1058;Y;40,16;531;40,17;0;N
DISCK;39,38;388;39,37;758;Y;39,4;687;39,41;0;N
DISH;64,89;750;64,88;650;N;64,91;100;64,92;515;Y
DLTR;56,87;797;56,86;882;Y;56,9;1302;56,91;1058;N
EA;36,86;1750;36,85;1750;Y;36,91;300;36,92;863;Y
EBAY;52,51;5893;52,5;0;N;52,54;2548;52,55;1626;N
ESRX;74,32;702;74,31;1086;Y;74,33;1402;74,34;1626;Y
EXPD;41,78;700;41,77;1280;Y;41,83;1957;41,84;0;N
FAST;46;750;45,99;779;Y;46,02;644;46,03;834;Y
FB;77,11;2110;77,1;2196;Y;77,14;1300;77,15;2098;Y
FISV;65,54;486;65,53;897;Y;65,59;693;65,6;1184;Y
FOX;34,04;4748;34,03;2950;N;34,08;1594;34,09;2527;Y
FOXA;35,12;5809;35,11;0;N;35,13;3202;35,14;0;N
GILD;106,56;400;106,55;870;Y;106,6;800;106,61;1672;Y
GMCR;135,53;409;135,52;0;N;135,57;100;135,58;100;Y
GOOG;591,56;8;591,55;0;N;591,75;105;591,76;4;N
GOOGL;600,32;100;600,31;100;Y;600,57;100;600,58;0;N
GRMN;52,11;1081;52,1;884;N;52,15;300;52,16;474;Y
HSIC;117,02;72;117,01;22;N;117,1;67;117,11;434;Y
ILMN;174,3;104;174,29;100;N;174,45;100;174,46;0;N
INCY;49,23;400;49,22;0;N;49,25;122;49,26;0;N
INTC;34,92;6013;34,91;8631;Y;34,95;7415;34,96;8272;Y
INTU;86,33;456;86,32;574;Y;86,37;375;86,38;0;N
ISRG;473;98;472,99;0;N;473,34;261;473,35;0;N
JD;28,1;909;28,09;0;N;28,11;200;28,12;400;Y
KHC;;;;;N;;;;;N
KLAC;80,57;200;80,56;0;N;80,59;401;80,6;0;N
